Drug,KW_stat,p_value,p_fdr,significant_fdr
XL888 (BRD:BRD-A03506276-001-01-5),5.601315789473688,0.0607700691622566,0.46697906762924307,False
RO-4987655 (BRD:BRD-K64538373-001-01-4),5.587662337662337,0.06118634906539806,0.46697906762924307,False
OXALIPLATIN (BRD:BRD-K78960041-001-05-7),5.581890331890335,0.061363188101627913,0.46697906762924307,False
PRT062070 (BRD:BRD-K25835157-001-01-4),5.577733860342548,0.06149084788195451,0.46697906762924307,False
TREMORINE (BRD:BRD-K08619838-300-05-7),5.532467532467535,0.06289844947385125,0.46767553400576445,False
AZOMYCIN-(2-NITROIMIDAZOLE) (BRD:BRD-K26824830-001-02-0),5.5314295977011465,0.06293110018917702,0.46767553400576445,False
DIGOXIGENIN (BRD:BRD-K18619710-001-14-4),5.519762845849797,0.06329927375738603,0.46767553400576445,False
AVL-292 (BRD:BRD-K87782578-001-01-4),5.506744979158768,0.0637126283003219,0.46767553400576445,False
EPOTHILONE-B (BRD:BRD-K68164687-001-01-6),5.461791831357047,0.06516088485077408,0.46767553400576445,False
PRANIDIPINE (BRD:BRD-A68083442-001-01-6),5.456369487033883,0.06533778692543644,0.46767553400576445,False
HOMOHARRINGTONINE (BRD:BRD-K76674262-001-03-3),5.435809018567639,0.06601293909451374,0.46767553400576445,False
TUCATINIB (BRD:BRD-K26026438-001-01-0),5.43364910951118,0.06608426857637643,0.46767553400576445,False
ERLOTINIB (BRD:BRD-K70401845-001-15-7),5.432180083808885,0.06613282615180292,0.46767553400576445,False
BORTEZOMIB (BRD:BRD-K88510285-001-17-8),5.4167108753315745,0.06664632066775755,0.46767553400576445,False
OUABAIN (BRD:BRD-K33277808-331-01-3),5.416666666666671,0.06664779385646813,0.46767553400576445,False
IKK-16 (BRD:BRD-K14618467-001-04-6),5.4057971014492665,0.06701099619631999,0.46767553400576445,False
MEXILETINE (BRD:BRD-A64092382-003-18-3),5.3632756132756185,0.06845095287237785,0.46767553400576445,False
BEXAROTENE (BRD:BRD-K92441787-001-04-1),5.362650290885591,0.06847235817523221,0.46767553400576445,False
BKM120 (BRD:BRD-K42191735-001-05-3),5.354617604617616,0.06874791966518265,0.46767553400576445,False
BF2.649 (BRD:BRD-K21673112-003-01-3),5.3482109227871835,0.06896849579072784,0.46767553400576445,False
CHIDAMIDE (BRD:BRD-K28537285-001-01-8),5.310935441370219,0.0702659661324266,0.46767553400576445,False
ISOFLOXYTHEPIN (BRD:BRD-A07704283-001-01-3),5.308959156785249,0.07033543322131613,0.46767553400576445,False
FLUVASTATIN (BRD:BRD-K66296774-236-11-3),5.303689064558625,0.07052101473179145,0.46767553400576445,False
TILUDRONATE (BRD:BRD-K10845183-304-01-6),5.289338429098573,0.07102884516267309,0.46767553400576445,False
AMSACRINE (BRD:BRD-K68346641-001-01-4),5.286215538847117,0.0711398394399237,0.46767553400576445,False
BX-912 (BRD:BRD-K49669041-001-08-4),5.27994227994229,0.07136332907440332,0.46767553400576445,False
PREDNISOLONE (BRD:BRD-A27887842-001-04-0),5.267256637168151,0.07181741248693321,0.46767553400576445,False
PF-04136309 (BRD:BRD-K94420399-001-01-9),5.265170670037923,0.07189235594344912,0.46767553400576445,False
BMS-754807 (BRD:BRD-K13049116-001-04-0),5.261197423266395,0.0720353209408079,0.46767553400576445,False
TANESPIMYCIN (BRD:BRD-K81473043-001-19-5),5.254035619552852,0.07229373475644052,0.46767553400576445,False
CP-673451 (BRD:BRD-K43621685-001-02-5),5.252184139784941,0.07236069093728646,0.46767553400576445,False
CARIPORIDE (BRD:BRD-K21670884-001-01-9),5.251803751803749,0.07237445481472002,0.46767553400576445,False
AZD3463 (BRD:BRD-K24593301-001-02-3),5.244227994227998,0.07264912034836209,0.46767553400576445,False
VELIPARIB (BRD:BRD-K12737986-001-01-4),5.232366701791362,0.07308125673662737,0.46767553400576445,False
DIHYDROMYRICETIN (BRD:BRD-K01614093-001-02-6),5.232203389830504,0.0730872245019457,0.46767553400576445,False
VATALANIB (BRD:BRD-K70163715-300-05-7),5.2292490118577035,0.07319526792565764,0.46767553400576445,False
